titre,auteurs,annee,lien,abstract,source
Charte nationale d'éducation et de formation,['R du Maroc'],,https://esef.uiz.ac.ma/wp-content/uploads/2025/01/documentation-iscae-rabat-2018.pdf,Le système éducatif du Royaume du Maroc se fonde sur les  Le système éducatif du Royaume  du Maroc respecte et  Le système éducatif s'enracine dans le patrimoine culturel du Maroc,Google Scholar
Etude ethnobotanique auprès de la population riveraine de la forêt d'Amsittène: cas de la Commune d'Imi n'Tlit (Province d'Essaouira),"['R Mehdioui', 'A Kahouadji']",,http://srv1-israbat.ac.ma/wp-content/uploads/2015/02/02-%20Mehdioui%20et%20al.%20(11-20).pdf,"Cette étude ethnobotanique a été réalisée à l’échelle de la commune rurale d’Imi n’Tlit, l’une  des communes qui utilisent les ressources forestières du massif d’Amsittène (province d’",Google Scholar
L'innovation pédagogique numérique: Vers un nouveau modèle universitaire,"['K BOUTTE', 'I EL OUIZGANI']",,http://www.revue-rise.uiz.ac.ma/index.php/rise/article/view/69,"scientifique et rendre ainsi l’Université marocaine un espace essentiel de production de la   à le motiver intrinsèquement, à le rendre l’artisan de sa formation et à dynamiser le cours.",Google Scholar
Imposex in Stramonita haemastoma (Gastropoda: Muricidae) along the Atlantic and Mediterranean coasts of Morocco,"['H El Mortaji', 'N Elkhiati', 'A Benhra', 'B El Haimeur']",,http://srv1-israbat.ac.ma/wp-content/uploads/2015/02/02-%20El%20Mortaji%20et%20al.%20(1)%20(13-18).pdf,des côtes atlantiques et méditerranéennes du nord du Maroc au cours de la période 2005-2006.   Contamination in these areas might be explained by the high activity of artisanal fishing,Google Scholar
Département de Langue Française Semestre 5 Module:«Didactique du FLE»,['I KHATTALA'],,https://fad.umi.ac.ma/pluginfile.php/465809/mod_resource/content/1/d%C3%A9partement%20de%20langue%20fran%C3%A7aise%20DIDACTIQUE%202024%20S5.pdf,"Évolution du statut du français au Maroc Avant d‟aborder le statut de la langue française  au Maroc, il nous semble pertinent de proposer quelques précisions terminologiques se",Google Scholar
Charte nationale d'éducation et de formation,['R du Maroc'],,https://esef.uiz.ac.ma/wp-content/uploads/2025/01/documentation-iscae-rabat-2018.pdf,"et techniques, un lieu de convergence des chercheurs compétents venus de toute part, un  laboratoire pour la découverte et la création, un atelier d’apprentissage des métiers auxquels",Google Scholar
L'analyse du texte littéraire au lycée marocain: de l'aspect esthétique à l'usage numérique,['S FARTAH'],,http://www.revue-rise.uiz.ac.ma/index.php/rise/article/view/73,"différents Centres Régionaux des Métiers de l’Education et de la Formation au Maroc - Cermef.   , au moins de l’ensemble des Cermef du Maroc. Le tableau ci - dessous apporte plus de",Google Scholar
L'extension de la protection sociale aux Marocains (es) à l'ère du Covid-19: Mythe ou réalité?,['PO Achour'],,http://fsjes-agdal.um5.ac.ma/sites/default/files/2022-04/LIVRE%20CORONA%20FR%20-%20AR-1_compressed.pdf#page=104,ො Créer une industrie capable de subvenir aux besoins impérieux ou facultatifs de sa  population Inciter les professions souffrant le plus de la crise à se réinventer et à faire preuve d’,Google Scholar
""" Défis de la globalisation et devenir Etatique",['ETE DU MAROC'],,http://fsjes-agdal.um5.ac.ma/sites/default/files/RJPEM_36_X_X/RJPEM_36_XXXX_X_FrAr.pdf,"Cette «désétatisation» généralisée favorise un affaiblissement de la citoyenneté qui, elle-même,  contribue à désagréger le système politique traditionnel. L'absentéisme est de plus en",Google Scholar
KeTT,['ETE DU MAROC'],,http://fsjes-agdal.um5.ac.ma/sites/default/files/RJPEM_22_1989_X/RJPEM_22_1989_X_FrAr.PDF,"C'est la première fois au Maroc que l'on se penche sur le  Les Collègues marocains  intervicndront pour décrire notre  dire dès à préscnt que dans un sens, le Maroc, en tant qu'Etat, d",Google Scholar
L'extension de la protection sociale aux Marocains (es) à l'ère du Covid-19: Mythe ou réalité?,['PO Achour'],,http://fsjes-agdal.um5.ac.ma/sites/default/files/2022-04/LIVRE%20CORONA%20FR%20-%20AR-1_compressed.pdf#page=104,"dispositions nouvelles, plus exactement, le dispositif légal en matière de droit du travail, la  question qui se pose permettra-il d’affronter, au profit du tissu économique et social Marocain,",Google Scholar
